,ext,name
0,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",pytest-cookies-0.2.0-py34_0.tar.bz2
1,"{'', '.txt', '.py', '.rendered', '.pyc', '.egg-info', '.json', '.yaml'}",permission-0.4.1-py27_0.tar.bz2
2,"{'', '.txt', '.py', '.1', '.pyc', '.egg-info', '.json', '.yaml', '.template'}",trash-cli-0.17.1.14-py27_0.tar.bz2
3,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",pims-0.3.3-py35_1.tar.bz2
4,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",extras-1.0.0-py36_0.tar.bz2
5,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",pyemd-0.4.3-np111py36_0.tar.bz2
6,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",ndarray-listener-1.0.19-py27_0.tar.bz2
7,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",osmnx-0.4.1-py35_0.tar.bz2
8,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",azure-common-1.1.4-py27_0.tar.bz2
9,"{'', '.css', '.txt', '.html', '.gif', '.py', '.js', '.pyc', '.json', '.yaml', '.template'}",django-ajax-selects-1.4.3-py36_0.tar.bz2
10,"{'', '.txt', '.py', '.pyc', '.json', '.bat', '.yaml', '.template'}",pytest-benchmark-3.0.0-py27_1.tar.bz2
11,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",pydotplus-2.0.2-py34_0.tar.bz2
12,"{'', '.txt', '.png', '.py', '.pyc', '.json', '.yaml', '.template'}",metakernel-0.17.4-py34_0.tar.bz2
13,"{'', '.json', '.rendered', '.yaml'}",conda-forge-build-setup-2.2.0-0.tar.bz2
14,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",spectral-0.18-py27_0.tar.bz2
15,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.ipynb', '.template'}",progress_reporter-1.3.1-py36_0.tar.bz2
16,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",skan-0.6.1-py36_0.tar.bz2
17,"{'', '.txt', '.py', '.pyc', '.json', '.bat', '.yaml'}",amqp-1.4.9-py35_0.tar.bz2
18,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",px4tools-0.4.9-py35_0.tar.bz2
19,"{'', '.css', '.txt', '.html', '.py', '.rendered', '.pyc', '.json', '.conf', '.yaml', '.css_t'}",alabaster-0.7.9-py27_0.tar.bz2
20,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",distributed-1.12.2-py34_0.tar.bz2
21,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",jupyter_kernel_gateway-1.1.2-py27_1.tar.bz2
22,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",asciitree-0.3.2-py27_0.tar.bz2
