,ext,name
0,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc', '.egg-info'}",permission-0.4.1-py27_0.tar.bz2
1,"{'', '.1', '.json', '.yaml', '.template', '.txt', '.py', '.pyc', '.egg-info'}",trash-cli-0.17.1.14-py27_0.tar.bz2
2,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",pyemd-0.4.3-np111py36_0.tar.bz2
3,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",pytest-cookies-0.2.0-py34_0.tar.bz2
4,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",azure-common-1.1.4-py27_0.tar.bz2
5,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",extras-1.0.0-py36_0.tar.bz2
6,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",ndarray-listener-1.0.19-py27_0.tar.bz2
7,"{'', '.json', '.yaml'}",conda-forge-build-setup-2.2.0-0.tar.bz2
8,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",pydotplus-2.0.2-py34_0.tar.bz2
9,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",osmnx-0.4.1-py35_0.tar.bz2
10,"{'', '.json', '.yaml', '.bat', '.txt', '.template', '.py', '.pyc'}",pytest-benchmark-3.0.0-py27_1.tar.bz2
11,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pims-0.3.3-py35_1.tar.bz2
12,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc', '.ipynb'}",progress_reporter-1.3.1-py36_0.tar.bz2
13,"{'', '.json', '.yaml', '.template', '.txt', '.png', '.py', '.pyc'}",metakernel-0.17.4-py34_0.tar.bz2
14,"{'', '.json', '.yaml', '.gif', '.template', '.txt', '.js', '.html', '.py', '.pyc', '.css'}",django-ajax-selects-1.4.3-py36_0.tar.bz2
15,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",jpype1-0.6.2-np111py36_0.tar.bz2
16,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",skan-0.6.1-py36_0.tar.bz2
17,"{'', '.json', '.yaml', '.bat', '.txt', '.py', '.pyc'}",amqp-1.4.9-py35_0.tar.bz2
18,"{'', '.json', '.yaml', '.txt', '.css_t', '.conf', '.html', '.py', '.pyc', '.css'}",alabaster-0.7.9-py27_0.tar.bz2
19,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",spectral-0.18-py27_0.tar.bz2
20,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",distributed-1.12.2-py34_0.tar.bz2
21,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.template', '.so', '.py', '.pyc', '.egg-info'}",pyspharm-1.0.9-np112py36_1.tar.bz2
22,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",jupyter_kernel_gateway-1.1.2-py27_1.tar.bz2
23,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",asciitree-0.3.2-py27_0.tar.bz2
24,"{'', '.json', '.yaml', '.sh', '.tmpl', '.bat', '.txt', '.yml', '.py', '.pyc'}",conda-smithy-0.5.1-py35_0.tar.bz2
25,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",px4tools-0.4.9-py35_0.tar.bz2
26,"{'', '.json', '.yaml', '.xpi', '.template', '.txt', '.js', '.so', '.py', '.pyc'}",selenium-3.0.2-py35_0.tar.bz2
27,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",emcee-2.2.1-py34_0.tar.bz2
28,"{'', '.json', '.yaml', '.sh', '.h', '.bat', '.txt', '.template', '.so', '.py', '.pyx', '.pyc', '.pxd'}",pyarrow-0.4.1-np111py36_1.tar.bz2
29,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pymeasure-0.4.4-py35_0.tar.bz2
30,"{'', '.json', '.yaml', '.txt', '.js', '.py', '.pyc'}",chartkick-0.4.2-py34_0.tar.bz2
31,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.template', '.py', '.pyc'}",feather-format-0.4.0-py36_1.tar.bz2
32,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",agate-remote-0.2.0-py36_0.tar.bz2
33,"{'', '.1', '.yaml', '.json', '.sh', '.h', '.dylib', '.a', '.la'}",jasper-1.900.1-0.tar.bz2
34,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pyasn1-0.2.3-py35_0.tar.bz2
35,"{'', '.c', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",tifffile-0.12.1-np113py27_0.tar.bz2
36,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",requestsexceptions-1.2.0-py35_0.tar.bz2
37,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.template', '.pc'}",xorg-libpthread-stubs-0.3-0.tar.bz2
38,"{'', '.json', '.yaml', '.txt', '.csv', '.py', '.pyc'}",brewer2mpl-1.4.1-py34_1.tar.bz2
39,"{'', '.json', '.yaml', '.txt', '.rst', '.rendered', '.py', '.pyc'}",lazyasd-0.1.3-py34_0.tar.bz2
40,"{'', '.json', '.yaml', '.h', '.bat', '.txt', '.template', '.so', '.py', '.diff', '.pyc', '.cpp'}",george-0.3.0-np111py35_0.tar.bz2
41,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pox-0.2.2-py36_0.tar.bz2
42,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",pyjwt-1.5.0-py27_0.tar.bz2
43,"{'', '.json', '.yaml', '.template', '.txt', '.pyc', '.py', '.ogg'}",librosa-0.5.0rc0-py34_0.tar.bz2
44,"{'', '.json', '.yaml', '.txt', '.hxx', '.so'}",rank_filter-0.4.11-np111py35_0.tar.bz2
45,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",treq-17.3.1-py36_0.tar.bz2
46,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",djangorestframework-gis-0.11.2-py36_0.tar.bz2
47,"{'', '.json', '.yaml', '.template', '.txt', '.test', '.py', '.pyc'}",pytest-3.1.1-py35_0.tar.bz2
48,"{'', '.json', '.yaml', '.sh', '.cpg', '.bat', '.dbf', '.txt', '.shp', '.so', '.py', '.shx', '.pyc'}",fiona-1.6.3-np110py27_3.tar.bz2
49,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",bagit-1.5.5-py35_0.tar.bz2
50,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.so', '.py', '.pyc'}",turbodbc-2.0.0-np112py36_0.tar.bz2
51,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.ico', '.png', '.py', '.pyc'}",xonsh-0.4.2-py34_0.tar.bz2
52,"{'', '.json', '.yaml', '.xsd', '.xml', '.py', '.pyc', '.egg-info'}",pycsw-2.0.0-py34_0.tar.bz2
53,"{'', '.svg', '.txt', '.ncx_t', '.pyx', '.new_t', '.c', '.ist', '.xhtml_t', '.png', '.js_t', '.po', '.opf_t', '.py_t', '.sty', '.mo', '.rst_t', '.json', '.yaml', '.js', '.xml', '.bat_t', '.pyc', '.css', '.gif', '.pot', '.template', '.conf', '.css_t', '.pickle', '.rst', '.html', '.tex_t', '.py', '.cls'}",sphinx-1.6.3-py27_0.tar.bz2
54,"{'', '.json', '.yaml', '.sh', '.h', '.txt', '.dylib', '.so', '.py', '.cpp'}",bob.math-2.0.3-np111py35_nomkl_3.tar.bz2
55,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",conda-build-all-0.13.1-py35_0.tar.bz2
56,"{'', '.json', '.yaml', '.h', '.template', '.txt', '.so', '.py', '.pyc'}",python-igraph-0.7.1.post6-py34_0.tar.bz2
57,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",python-mimeparse-1.5.2-py27_0.tar.bz2
58,"{'', '.bz2', '.json', '.yaml', '.sh', '.npz', '.chl', '.sigmet', '.bat', '.template', '.txt', '.mdv', '.uf', '.so', '.ar2v', '.png', '.py', '.nc', '.cdf', '.pyc', '.egg-info'}",arm_pyart-1.8.0-np111py27_0.tar.bz2
59,"{'', '.json', '.yaml', '.gz', '.txt', '.template', '.so', '.py', '.pyc'}",pyabel-0.7.6-np112py27_0.tar.bz2
60,"{'', '.json', '.yaml', '.svg', '.sh', '.ttf', '.gif', '.bat', '.txt', '.template', '.js', '.html', '.ts', '.pyc', '.woff', '.eot', '.manifest', '.py', '.woff2', '.map', '.css'}",jupyterlab-0.13.2-py35_1.tar.bz2
61,"{'', '.json', '.yaml', '.sh', '.inl', '.h', '.bat', '.txt', '.patch', '.dylib', '.rendered', '.so', '.hh', '.cc', '.a'}",openmesh-6.2-py35_0.tar.bz2
