,ext,name
0,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",pytest-cookies-0.2.0-py34_0.tar.bz2
1,"{'', '.txt', '.yaml', '.json', '.egg-info', '.pyc', '.py', '.template'}",permission-0.4.1-py27_0.tar.bz2
2,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",extras-1.0.0-py36_0.tar.bz2
3,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",osmnx-0.4.1-py35_0.tar.bz2
4,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",ndarray-listener-1.0.19-py27_0.tar.bz2
5,"{'', '.rendered', '.json', '.bat', '.yaml'}",conda-forge-build-setup-2.2.0-0.tar.bz2
6,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",pims-0.3.3-py35_1.tar.bz2
7,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",azure-common-1.1.4-py27_0.tar.bz2
8,"{'', '.h', '.exe', '.bat', '.cmake', '.lib', '.dll', '.yaml', '.json', '.sh', '.rendered'}",shapelib-1.4.0-vc14_0.tar.bz2
9,"{'', '.html', '.js', '.txt', '.yaml', '.css', '.json', '.gif', '.pyc', '.py', '.template'}",django-ajax-selects-1.4.3-py36_0.tar.bz2
10,"{'', '.txt', '.png', '.yaml', '.json', '.pyc', '.py', '.template'}",metakernel-0.17.4-py34_0.tar.bz2
11,"{'', '.txt', '.yaml', '.json', '.pyc', '.py'}",pydotplus-2.0.2-py34_0.tar.bz2
12,"{'', '.bat', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",pytest-benchmark-3.0.0-py27_1.tar.bz2
13,"{'', '.txt', '.ipynb', '.yaml', '.json', '.pyc', '.py', '.template'}",progress_reporter-1.3.1-py36_0.tar.bz2
14,"{'', '.egg', '.bat', '.txt', '.yaml', '.json', '.pth', '.diff', '.template'}",george-0.3.0-np111py35_0.tar.bz2
15,"{'', '.html', '.txt', '.yaml', '.css', '.json', '.conf', '.rendered', '.pyc', '.py', '.css_t'}",alabaster-0.7.9-py27_0.tar.bz2
16,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",skan-0.6.1-py36_0.tar.bz2
17,"{'', '.txt', '.yaml', '.json', '.pyd', '.pyc', '.py', '.template'}",jpype1-0.6.2-np111py36_0.tar.bz2
18,"{'', '.bat', '.txt', '.yaml', '.json', '.pyc', '.py'}",amqp-1.4.9-py35_0.tar.bz2
19,"{'', '.txt', '.yaml', '.json', '.pyc', '.py'}",emcee-2.2.1-py34_0.tar.bz2
20,"{'', '.exe', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",px4tools-0.4.9-py35_0.tar.bz2
21,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",asciitree-0.3.2-py27_0.tar.bz2
22,"{'', '.exe', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",jupyter_kernel_gateway-1.1.2-py27_1.tar.bz2
23,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",pymeasure-0.4.4-py35_0.tar.bz2
24,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",spectral-0.18-py27_0.tar.bz2
25,"{'', '.js', '.txt', '.yaml', '.json', '.pyc', '.py'}",chartkick-0.4.2-py34_0.tar.bz2
26,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",agate-remote-0.2.0-py36_0.tar.bz2
